rule,arg1,arg2,arg3,expected
overage_gb,5813259,2500,,3178.000000
rate_overage,5813259,2500,,31780.000000
overage_gb,5813259,5000,,678.000000
rate_overage,5813259,5000,,6780.000000
usage_gb_rounded,7472103,,,7297.000000
overage_gb,7472103,0,,7297.000000
rate_overage,7472103,0,,72970.000000
overage_gb,7472103,500,,6797.000000
rate_overage,7472103,500,,67970.000000
overage_gb,7472103,2500,,4797.000000
rate_overage,7472103,2500,,47970.000000
overage_gb,7472103,5000,,2297.000000
rate_overage,7472103,5000,,22970.000000
daily_rate,310.000000,,,10.333333
prorated_plan_charge,310.000000,155.000000,0,310.000000
prorated_plan_charge,310.000000,155.000000,1,310.000000
prorated_plan_charge,310.000000,155.000000,4,294.500000
prorated_plan_charge,310.000000,155.000000,16,232.500000
prorated_plan_charge,310.000000,155.000000,30,160.160000
prorated_plan_charge,310.000000,155.000000,31,155.000000
suspension_credit,310.000000,10,14,0.000000
daily_rate,640.000000,,,21.333333
prorated_plan_charge,640.000000,320.000000,0,640.000000
prorated_plan_charge,640.000000,320.000000,1,640.000000
prorated_plan_charge,640.000000,320.000000,4,608.000000
prorated_plan_charge,640.000000,320.000000,16,480.000000
prorated_plan_charge,640.000000,320.000000,30,330.660000
prorated_plan_charge,640.000000,320.000000,31,320.000000
suspension_credit,640.000000,10,14,0.000000
daily_rate,2400.000000,,,80.000000
prorated_plan_charge,2400.000000,1200.000000,0,2400.000000
prorated_plan_charge,2400.000000,1200.000000,1,2400.000000
prorated_plan_charge,2400.000000,1200.000000,4,2280.000000
prorated_plan_charge,2400.000000,1200.000000,16,1800.000000
prorated_plan_charge,2400.000000,1200.000000,30,1240.000000
prorated_plan_charge,2400.000000,1200.000000,31,1200.000000
suspension_credit,2400.000000,10,14,0.000000
daily_rate,4200.000000,,,140.000000
prorated_plan_charge,4200.000000,2100.000000,0,4200.000000
prorated_plan_charge,4200.000000,2100.000000,1,4200.000000
prorated_plan_charge,4200.000000,2100.000000,4,3990.000000
prorated_plan_charge,4200.000000,2100.000000,16,3150.000000
prorated_plan_charge,4200.000000,2100.000000,30,2170.000000
prorated_plan_charge,4200.000000,2100.000000,31,2100.000000
suspension_credit,4200.000000,10,14,0.000000
suspended_days,0,0,,0.000000
suspended_days,10,14,,5.000000
suspended_days,14,10,,0.000000
multi_line_pct,1,,,0.000000
multi_line_discount,1000.000000,1,,0.000000
multi_line_pct,2,,,0.000000
multi_line_discount,1000.000000,2,,0.000000
multi_line_pct,3,,,5.000000
multi_line_discount,1000.000000,3,,50.000000
multi_line_pct,9,,,5.000000
multi_line_discount,1000.000000,9,,50.000000
multi_line_pct,10,,,10.000000
multi_line_discount,1000.000000,10,,100.000000
multi_line_pct,14,,,10.000000
multi_line_discount,1000.000000,14,,100.000000
promo_is_live,2026-05-20,2026-07,,0.000000
promo_credit,120.000000,2026-05-20,2026-07,0.000000
days_past_due,2026-05-20,2026-07,,42.000000
late_fee,500.000000,2026-05-20,2026-07,7.500000
promo_is_live,2026-06-24,2026-07,,0.000000
promo_credit,120.000000,2026-06-24,2026-07,0.000000
days_past_due,2026-06-24,2026-07,,7.000000
late_fee,500.000000,2026-06-24,2026-07,0.000000
promo_is_live,2026-06-30,2026-07,,0.000000
promo_credit,120.000000,2026-06-30,2026-07,0.000000
days_past_due,2026-06-30,2026-07,,1.000000
late_fee,500.000000,2026-06-30,2026-07,0.000000
promo_is_live,2026-07-04,2026-07,,1.000000
promo_credit,120.000000,2026-07-04,2026-07,120.000000
days_past_due,2026-07-04,2026-07,,0.000000
late_fee,500.000000,2026-07-04,2026-07,0.000000
promo_is_live,,2026-07,,0.000000
promo_credit,120.000000,,2026-07,0.000000
days_past_due,,2026-07,,0.000000
late_fee,500.000000,,2026-07,0.000000
province_federal_pct,BC,,,5.000000
province_provincial_pct,BC,,,7.000000
province_labels,BC,GST,PST,0.000000
province_federal_pct,AB,,,5.000000
province_provincial_pct,AB,,,0.000000
province_labels,AB,GST,,0.000000
province_federal_pct,ON,,,13.000000
province_provincial_pct,ON,,,0.000000
province_labels,ON,HST,,0.000000
province_federal_pct,QC,,,5.000000
province_provincial_pct,QC,,,9.975000
province_labels,QC,GST,QST,0.000000
province_federal_pct,SK,,,5.000000
province_provincial_pct,SK,,,0.000000
province_labels,SK,GST,,0.000000
province_federal_pct,,,,5.000000
province_provincial_pct,,,,0.000000
province_labels,,GST,,0.000000
federal_tax,1000.000000,0.000000,,0.000000
provincial_tax,1000.000000,100.000000,0.000000,0.000000
loyalty_discount,1000.000000,0.000000,,0.000000
federal_tax,1000.000000,2.500000,,25.000000
provincial_tax,1000.000000,100.000000,2.500000,22.500000
loyalty_discount,1000.000000,2.500000,,25.000000
federal_tax,1000.000000,4.000000,,40.000000
provincial_tax,1000.000000,100.000000,4.000000,36.000000
loyalty_discount,1000.000000,4.000000,,40.000000
federal_tax,1000.000000,5.000000,,50.000000
provincial_tax,1000.000000,100.000000,5.000000,45.000000
loyalty_discount,1000.000000,5.000000,,50.000000
federal_tax,1000.000000,8.000000,,80.000000
provincial_tax,1000.000000,100.000000,8.000000,72.000000
loyalty_discount,1000.000000,8.000000,,80.000000
