ACCT_ID,PERIOD,USAGE_MB
MER-011749,2026-06,913674
MER-011749,2026-07,675534
MER-011756,2026-06,271778
MER-011756,2026-07,339073
MER-011763,2026-06,5120389
MER-011763,2026-07,5120537
MER-011770,2026-06,4522055
MER-011770,2026-07,4776502
MER-011777,2026-06,1234727
MER-011777,2026-07,1749073
MER-011784,2026-06,380606
MER-011784,2026-07,336704
MER-011791,2026-06,418533
MER-011791,2026-07,311172
MER-011798,2026-06,7590422
MER-011798,2026-07,7487450
MER-011805,2026-06,2560374
MER-011805,2026-07,2560670
MER-011812,2026-06,1424230
MER-011812,2026-07,1300198
MER-011819,2026-06,951448
MER-011819,2026-07,779220
MER-011826,2026-06,181674
MER-011826,2026-07,173568
MER-011833,2026-06,7150802
MER-011833,2026-07,7290208
MER-011840,2026-06,4471624
MER-011840,2026-07,3365619
MER-011847,2026-06,1024016
MER-011847,2026-07,1024734
MER-011854,2026-06,683597
MER-011854,2026-07,662002
MER-011861,2026-06,412319
MER-011861,2026-07,395002
MER-011868,2026-06,3724590
MER-011868,2026-07,3666283
MER-011875,2026-06,2984504
MER-011875,2026-07,4452718
MER-011882,2026-06,1189600
MER-011882,2026-07,1337427
MER-011889,2026-06,512089
MER-011889,2026-07,512552
MER-011896,2026-06,465300
MER-011896,2026-07,284528
MER-011903,2026-06,8955781
MER-011903,2026-07,9165255
MER-011910,2026-06,1625678
MER-011910,2026-07,2412655
MER-011917,2026-06,1891834
MER-011917,2026-07,1477224
MER-011924,2026-06,624584
MER-011924,2026-07,577522
MER-011931,2026-06,256800
MER-011931,2026-07,256195
MER-011938,2026-06,8977234
MER-011938,2026-07,6500635
MER-011945,2026-06,4661382
MER-011945,2026-07,4003703
MER-011952,2026-06,973605
MER-011952,2026-07,808860
MER-011959,2026-06,723942
MER-011959,2026-07,573120
MER-011966,2026-06,447601
MER-011966,2026-07,467742
MER-011973,2026-06,5120667
MER-011973,2026-07,5120733
MER-011980,2026-06,2866331
MER-011980,2026-07,2946224
MER-011987,2026-06,1612036
MER-011987,2026-07,1316695
MER-011994,2026-06,361908
MER-011994,2026-07,339162
MER-012001,2026-06,289314
MER-012001,2026-07,463951
MER-012008,2026-06,8782844
MER-012008,2026-07,6229887
MER-012015,2026-06,2560794
MER-012015,2026-07,2560581
MER-012022,2026-06,1237020
MER-012022,2026-07,1423594
MER-012029,2026-06,876820
MER-012029,2026-07,856023
MER-012036,2026-06,170550
MER-012036,2026-07,235443
MER-012043,2026-06,8141431
MER-012043,2026-07,5746123
MER-012050,2026-06,4472239
MER-012050,2026-07,4647176
MER-012057,2026-06,1024551
MER-012057,2026-07,1024436
MER-012064,2026-06,763941
MER-012064,2026-07,657690
MER-012071,2026-06,422336
MER-012071,2026-07,443995
MER-012078,2026-06,2884036
MER-012078,2026-07,4686486
MER-012085,2026-06,4476700
MER-012085,2026-07,3589283
MER-012092,2026-06,1767063
MER-012092,2026-07,1454547
MER-012099,2026-06,512347
MER-012099,2026-07,512345
MER-012106,2026-06,451045
MER-012106,2026-07,430365
MER-012113,2026-06,6042094
MER-012113,2026-07,7116501
MER-012120,2026-06,2023622
MER-012120,2026-07,2331749
MER-012127,2026-06,1646936
MER-012127,2026-07,1255440
MER-012134,2026-06,808215
MER-012134,2026-07,539941
MER-012141,2026-06,256205
MER-012141,2026-07,256233
MER-012148,2026-06,9145995
MER-012148,2026-07,9302102
MER-012155,2026-06,4324565
MER-012155,2026-07,4100276
MER-012162,2026-06,946709
MER-012162,2026-07,623938
MER-012169,2026-06,650399
MER-012169,2026-07,876578
MER-012176,2026-06,300263
MER-012176,2026-07,484652
MER-012183,2026-06,5120429
MER-012183,2026-07,5120553
MER-012190,2026-06,4557616
MER-012190,2026-07,2990157
MER-012197,2026-06,1582196
MER-012197,2026-07,1563239
MER-012204,2026-06,365134
MER-012204,2026-07,357122
MER-012211,2026-06,365012
MER-012211,2026-07,447107
MER-012218,2026-06,6562269
MER-012218,2026-07,5481674
MER-012225,2026-06,2560694
MER-012225,2026-07,2560668
MER-012232,2026-06,1109569
MER-012232,2026-07,1537911
MER-012239,2026-06,783000
MER-012239,2026-07,883847
MER-012246,2026-06,194929
MER-012246,2026-07,168245
MER-012253,2026-06,7492841
MER-012253,2026-07,9187526
MER-012260,2026-06,4485825
MER-012260,2026-07,4607614
MER-012267,2026-06,1024577
MER-012267,2026-07,1024646
MER-012274,2026-06,565795
MER-012274,2026-07,662082
MER-012281,2026-06,381742
MER-012281,2026-07,342887
MER-012288,2026-06,3737357
MER-012288,2026-07,2987401
MER-012295,2026-06,4258750
MER-012295,2026-07,3924200
MER-012302,2026-06,1491199
MER-012302,2026-07,1207092
MER-012309,2026-06,512291
MER-012309,2026-07,512422
MER-012316,2026-06,423917
MER-012316,2026-07,378957
MER-012323,2026-06,6624150
MER-012323,2026-07,6998328
MER-012330,2026-06,2248153
MER-012330,2026-07,2388838
MER-012337,2026-06,1456387
MER-012337,2026-07,1846271
MER-012344,2026-06,870524
MER-012344,2026-07,919202
MER-012351,2026-06,256255
MER-012351,2026-07,256569
MER-012358,2026-06,9407350
MER-012358,2026-07,6256071
MER-012365,2026-06,4464041
MER-012365,2026-07,4735243
MER-012372,2026-06,648790
MER-012372,2026-07,883922
MER-012379,2026-06,933107
MER-012379,2026-07,739444
MER-012386,2026-06,273715
MER-012386,2026-07,437260
