ASSET_ID,SITE_NM,SITE_CD,REGION_CD,LAT,LON,STATUS_CD,TOWER_REG,TOTAL_CAP_MBPS,ALLOC_CAP_MBPS
100024,Dunmore Macro Site 6,MSITE-100024,SW-01,33.380548,-112.937957,1,TWR-SW-0024,2000,950
100025,Kingsley Rooftop 40,MSITE-100025,NW-03,46.91891,-122.729746,1,TWR-NW-0025,2000,850
100026,Summit Hub 2,MSITE-100026,NE-04,43.407109,-72.159283,1,TWR-NE-0026,4000,1050
100027,Willow Hub 23,MSITE-100027,SE-02,33.487071,-84.078381,1,TWR-SE-0027,10000,7700
100028,Ashford Small Cell 32,MSITE-100028,MW-07,41.614154,-87.439577,1,TWR-MW-0028,500,100
100029,Willow Micro-Site 25,MSITE-100029,SW-01,32.511664,-112.93181,1,TWR-SW-0029,4000,1050
100030,Mill Creek Node 12,MSITE-100030,NW-03,46.830301,-123.289244,1,TWR-NW-0030,1000,600
100031,Granite Tower 6,MSITE-100031,NE-04,42.117575,-71.507667,1,TWR-NE-0031,2000,1300
100032,Mill Creek Tower 19,MSITE-100032,SE-02,33.993945,-84.790391,3,TWR-SE-0032,4000,2550
100033,Dunmore Node 12,MSITE-100033,MW-07,41.749827,-87.318854,1,TWR-MW-0033,10000,7150
100034,Crossing Hub 21,MSITE-100034,SW-01,33.849491,-112.019765,1,TWR-SW-0034,10000,4050
100035,Fairview Node 36,MSITE-100035,NW-03,47.550804,-123.52994,1,TWR-NW-0035,1000,300
100036,Summit Tower 21,MSITE-100036,NE-04,41.325206,-70.051086,1,TWR-NE-0036,500,350
100037,Cedar Rooftop 5,MSITE-100037,SE-02,34.242789,-84.466711,1,TWR-SE-0037,4000,3000
100038,Dunmore Small Cell 1,MSITE-100038,MW-07,41.446481,-87.872522,1,TWR-MW-0038,1000,700
100039,Lakeshore Rooftop 5,MSITE-100039,SW-01,32.559274,-112.926989,1,TWR-SW-0039,4000,2800
100040,Riverbend Macro Site 40,MSITE-100040,NW-03,48.044624,-121.844406,1,TWR-NW-0040,500,300
100041,Ashford Hub 2,MSITE-100041,NE-04,41.590194,-70.122689,1,TWR-NE-0041,1000,500
100042,Mill Creek Tower 28,MSITE-100042,SE-02,32.608188,-84.146163,1,TWR-SE-0042,500,150
100043,Whitfield Micro-Site 28,MSITE-100043,MW-07,42.408548,-86.58459,1,TWR-MW-0043,2000,1000
100044,Oakview Tower 5,MSITE-100044,SW-01,33.909475,-112.263715,1,TWR-SW-0044,1000,750
100045,Beacon Tower 16,MSITE-100045,NW-03,48.683191,-121.137851,1,TWR-NW-0045,4000,2400
100046,Granite Tower 24,MSITE-100046,NE-04,43.251734,-70.563431,1,TWR-NE-0046,2000,1450
100047,Summit Rooftop 40,MSITE-100047,SE-02,33.019704,-85.311208,1,TWR-SE-0047,4000,3100
100048,Stonebridge Rooftop 23,MSITE-100048,MW-07,41.302473,-87.488508,1,TWR-MW-0048,1000,650
100049,Lakeshore Small Cell 14,MSITE-100049,SW-01,34.397585,-111.035402,1,TWR-SW-0049,1000,650
100050,Dunmore Tower 21,MSITE-100050,NW-03,46.414688,-121.33477,3,TWR-NW-0050,2000,850
100051,Beacon Hub 1,MSITE-100051,NE-04,42.806751,-71.980777,1,TWR-NE-0051,4000,2400
100052,Lakeshore Node 24,MSITE-100052,SE-02,34.072259,-85.01954,1,TWR-SE-0052,10000,4950
100053,Lakeshore Rooftop 4,MSITE-100053,MW-07,41.876999,-87.401962,1,TWR-MW-0053,1000,500
100054,Cedar Small Cell 9,MSITE-100054,SW-01,33.410586,-111.978428,1,TWR-SW-0054,1000,500
100055,Crossing Node 24,MSITE-100055,NW-03,47.847804,-121.323873,2,TWR-NW-0055,1000,650
100056,Kingsley Hub 32,MSITE-100056,NE-04,42.744316,-70.011344,2,TWR-NE-0056,1000,250
100057,Beacon Micro-Site 30,MSITE-100057,SE-02,33.796216,-84.657492,1,TWR-SE-0057,500,250
100058,Foxglove Micro-Site 2,MSITE-100058,MW-07,41.573201,-88.798032,1,TWR-MW-0058,1000,700
100059,Oakview Macro Site 6,MSITE-100059,SW-01,32.855427,-112.168287,1,TWR-SW-0059,4000,1950
100060,Mill Creek Small Cell 7,MSITE-100060,NW-03,46.468693,-121.883373,1,TWR-NW-0060,500,150
100061,Ashford Node 7,MSITE-100061,NE-04,43.073022,-70.998435,1,TWR-NE-0061,10000,3950
100062,Kingsley Tower 27,MSITE-100062,SE-02,33.335786,-84.29382,1,TWR-SE-0062,10000,5550
100063,Oakview Hub 34,MSITE-100063,MW-07,42.349708,-87.651434,1,TWR-MW-0063,10000,7000
100064,Ashford Tower 3,MSITE-100064,SW-01,34.492363,-111.676433,1,TWR-SW-0064,1000,350
100065,Foxglove Tower 6,MSITE-100065,NW-03,48.76853,-122.458866,1,TWR-NW-0065,500,150
100066,Dunmore Small Cell 22,MSITE-100066,NE-04,42.547903,-70.208002,1,TWR-NE-0066,1000,250
100067,Cedar Hub 3,MSITE-100067,SE-02,34.553117,-84.430473,1,TWR-SE-0067,1000,600
100068,Northgate Tower 7,MSITE-100068,MW-07,40.874466,-88.202252,1,TWR-MW-0068,500,100
100069,Ashford Node 33,MSITE-100069,SW-01,33.04492,-111.642903,1,TWR-SW-0069,4000,2750
100070,Granite Macro Site 13,MSITE-100070,NW-03,46.948984,-121.967674,3,TWR-NW-0070,2000,800
100071,Riverbend Tower 36,MSITE-100071,NE-04,43.513109,-70.402626,1,TWR-NE-0071,4000,1350
100072,Mill Creek Node 28,MSITE-100072,SE-02,33.840101,-84.499487,1,TWR-SE-0072,1000,350
100073,Whitfield Hub 8,MSITE-100073,MW-07,42.804839,-88.791846,1,TWR-MW-0073,1000,300
100074,Summit Rooftop 3,MSITE-100074,SW-01,32.604122,-111.655232,1,TWR-SW-0074,4000,2100
100075,Northgate Small Cell 2,MSITE-100075,NW-03,47.193715,-122.076549,1,TWR-NW-0075,4000,2750
100076,Foxglove Tower 3,MSITE-100076,NE-04,42.651794,-71.476671,2,TWR-NE-0076,1000,400
100077,Ridge Hub 38,MSITE-100077,SE-02,33.295018,-84.487746,1,TWR-SE-0077,1000,650
100078,Ashford Node 40,MSITE-100078,MW-07,42.942962,-88.726053,1,TWR-MW-0078,500,250
100079,Foxglove Rooftop 7,MSITE-100079,SW-01,34.401214,-111.099006,1,TWR-SW-0079,500,150
100080,Fairview Tower 32,MSITE-100080,NW-03,46.719588,-121.272169,1,TWR-NW-0080,2000,1450
100081,Lakeshore Hub 24,MSITE-100081,NE-04,42.573626,-70.38717,1,TWR-NE-0081,4000,3000
100082,Willow Tower 25,MSITE-100082,SE-02,33.366886,-83.375903,1,TWR-SE-0082,1000,300
100083,Northgate Rooftop 12,MSITE-100083,MW-07,41.162833,-87.580782,1,TWR-MW-0083,10000,6100
100084,Willow Rooftop 3,MSITE-100084,SW-01,32.736659,-111.529098,1,TWR-SW-0084,500,250
100085,Crossing Micro-Site 13,MSITE-100085,NW-03,46.958508,-122.511302,1,TWR-NW-0085,500,300
100086,Foxglove Tower 35,MSITE-100086,NE-04,41.567554,-70.295505,1,TWR-NE-0086,1000,700
100087,Stonebridge Node 26,MSITE-100087,SE-02,34.404957,-84.765005,1,TWR-SE-0087,500,350
100088,Oakview Node 31,MSITE-100088,MW-07,41.417599,-86.998347,1,TWR-MW-0088,1000,600
100089,Ashford Small Cell 12,MSITE-100089,SW-01,32.549673,-112.514372,1,TWR-SW-0089,10000,3550
100090,Fairview Tower 10,MSITE-100090,NW-03,47.788468,-122.701179,1,TWR-NW-0090,500,150
100091,Beacon Macro Site 17,MSITE-100091,NE-04,41.370678,-70.292229,1,TWR-NE-0091,500,150
100092,Stonebridge Macro Site 32,MSITE-100092,SE-02,32.720304,-84.244633,1,TWR-SE-0092,500,350
100093,Kingsley Node 23,MSITE-100093,MW-07,41.135677,-88.024281,1,TWR-MW-0093,1000,650
100094,Stonebridge Rooftop 10,MSITE-100094,SW-01,33.929355,-112.105169,1,TWR-SW-0094,500,150
100095,Beacon Rooftop 24,MSITE-100095,NW-03,46.957014,-121.462896,1,TWR-NW-0095,1000,400
100096,Granite Micro-Site 34,MSITE-100096,NE-04,42.065526,-71.562203,1,TWR-NE-0096,2000,550
100097,Ashford Macro Site 14,MSITE-100097,SE-02,34.603776,-85.430655,1,TWR-SE-0097,10000,4600
100098,Dunmore Small Cell 34,MSITE-100098,MW-07,42.226988,-88.237259,1,TWR-MW-0098,10000,7200
100099,Whitfield Rooftop 13,MSITE-100099,SW-01,32.686473,-112.848265,1,TWR-SW-0099,2000,750
100100,Ridge Small Cell 6,MSITE-100100,NW-03,46.892227,-122.063985,1,TWR-NW-0100,10000,3350
100101,Dunmore Macro Site 40,MSITE-100101,NE-04,42.090228,-70.249204,1,TWR-NE-0101,1000,550
100102,Northgate Hub 20,MSITE-100102,SE-02,34.489981,-85.260875,1,TWR-SE-0102,10000,7800
100103,Riverbend Micro-Site 24,MSITE-100103,MW-07,42.596182,-87.214445,1,TWR-MW-0103,10000,6450
100104,Ridge Small Cell 20,MSITE-100104,SW-01,34.006799,-111.685245,1,TWR-SW-0104,2000,1350
100105,Northgate Node 34,MSITE-100105,NW-03,47.419734,-123.521708,2,TWR-NW-0105,1000,300
100106,Cedar Node 22,MSITE-100106,NE-04,43.036576,-69.904972,1,TWR-NE-0106,2000,1500
100107,Willow Small Cell 13,MSITE-100107,SE-02,34.359392,-85.053824,1,TWR-SE-0107,4000,1000
100108,Whitfield Micro-Site 33,MSITE-100108,MW-07,41.301611,-88.755826,1,TWR-MW-0108,4000,2700
100109,Stonebridge Hub 32,MSITE-100109,SW-01,34.576185,-111.580563,1,TWR-SW-0109,10000,7050
100110,Granite Rooftop 6,MSITE-100110,NW-03,47.414786,-122.109724,1,TWR-NW-0110,2000,1250
100111,Summit Hub 36,MSITE-100111,NE-04,41.366529,-72.207529,1,TWR-NE-0111,500,100
100112,Ridge Rooftop 1,MSITE-100112,SE-02,34.275172,-83.958952,1,TWR-SE-0112,10000,7200
100113,Oakview Tower 36,MSITE-100113,MW-07,42.299509,-88.768507,1,TWR-MW-0113,10000,6100
100114,Northgate Node 30,MSITE-100114,SW-01,33.034352,-112.371682,1,TWR-SW-0114,500,200
100115,Fairview Micro-Site 39,MSITE-100115,NW-03,46.918011,-121.478556,1,TWR-NW-0115,10000,3950
100116,Ridge Node 10,MSITE-100116,NE-04,43.03537,-71.702417,1,TWR-NE-0116,10000,7400
100117,Beacon Macro Site 31,MSITE-100117,SE-02,33.334493,-84.265,1,TWR-SE-0117,2000,650
100118,Beacon Tower 1,MSITE-100118,MW-07,41.373521,-87.908959,1,TWR-MW-0118,1000,350
100119,Crossing Rooftop 9,MSITE-100119,SW-01,32.464344,-110.996287,1,TWR-SW-0119,4000,2250
100120,Granite Micro-Site 30,MSITE-100120,NW-03,48.163751,-123.297557,1,TWR-NW-0120,4000,2750
100121,Stonebridge Small Cell 18,MSITE-100121,NE-04,43.290426,-70.912185,1,TWR-NE-0121,2000,600
100122,Whitfield Hub 13,MSITE-100122,SE-02,33.112697,-83.724067,1,TWR-SE-0122,1000,550
100123,Willow Macro Site 37,MSITE-100123,MW-07,40.879836,-87.502459,1,TWR-MW-0123,1000,550
100124,Stonebridge Micro-Site 27,MSITE-100124,SW-01,32.321974,-112.425026,1,TWR-SW-0124,4000,1500
100125,Cedar Rooftop 27,MSITE-100125,NW-03,48.718199,-123.428813,1,TWR-NW-0125,1000,300
100126,Stonebridge Small Cell 14,MSITE-100126,NE-04,41.185344,-70.206611,1,TWR-NE-0126,4000,1000
100127,Ashford Node 15,MSITE-100127,SE-02,33.52879,-84.407181,1,TWR-SE-0127,10000,4200
100128,Dunmore Micro-Site 10,MSITE-100128,MW-07,42.163549,-87.829253,1,TWR-MW-0128,10000,6450
100129,Lakeshore Hub 4,MSITE-100129,SW-01,33.334367,-111.819395,1,TWR-SW-0129,10000,7300
100130,Mill Creek Rooftop 21,MSITE-100130,NW-03,48.607255,-122.479895,1,TWR-NW-0130,1000,450
100131,Crossing Tower 13,MSITE-100131,NE-04,41.308656,-69.912333,1,TWR-NE-0131,4000,2500
100132,Dunmore Macro Site 30,MSITE-100132,SE-02,33.0875,-85.335602,1,TWR-SE-0132,2000,1450
100133,Fairview Hub 23,MSITE-100133,MW-07,41.303399,-87.185607,1,TWR-MW-0133,500,350
100134,Northgate Small Cell 3,MSITE-100134,SW-01,32.51907,-111.037429,1,TWR-SW-0134,10000,6050
100135,Oakview Macro Site 21,MSITE-100135,NW-03,46.682374,-121.549296,1,TWR-NW-0135,4000,2650
100136,Foxglove Small Cell 27,MSITE-100136,NE-04,41.672738,-71.546849,1,TWR-NE-0136,10000,5300
100137,Harbor Small Cell 26,MSITE-100137,SE-02,34.175008,-83.499478,1,TWR-SE-0137,4000,2150
100138,Fairview Node 16,MSITE-100138,MW-07,42.699624,-88.556152,1,TWR-MW-0138,2000,1100
100139,Harbor Node 26,MSITE-100139,SW-01,32.776521,-112.074133,3,TWR-SW-0139,1000,550
100140,Harbor Small Cell 32,MSITE-100140,NW-03,47.657591,-122.78554,1,TWR-NW-0140,500,300
100141,Summit Tower 13,MSITE-100141,NE-04,41.939468,-70.876557,1,TWR-NE-0141,4000,2800
100142,Cedar Micro-Site 33,MSITE-100142,SE-02,33.232434,-83.778781,2,TWR-SE-0142,2000,1250
100143,Fairview Small Cell 3,MSITE-100143,MW-07,41.070568,-88.102089,1,TWR-MW-0143,1000,300
100144,Mill Creek Macro Site 23,MSITE-100144,SW-01,33.243778,-113.136893,1,TWR-SW-0144,2000,1400
100145,Oakview Node 1,MSITE-100145,NW-03,47.612043,-122.142074,1,TWR-NW-0145,1000,600
100146,Cedar Micro-Site 20,MSITE-100146,NE-04,42.754147,-70.112825,1,TWR-NE-0146,10000,4400
100147,Northgate Tower 40,MSITE-100147,SE-02,33.516227,-83.409537,2,TWR-SE-0147,4000,3050
100148,Willow Small Cell 9,MSITE-100148,MW-07,43.030723,-86.964927,1,TWR-MW-0148,10000,5450
100149,Mill Creek Node 11,MSITE-100149,SW-01,33.625878,-111.951343,1,TWR-SW-0149,4000,2900
100150,Beacon Macro Site 5,MSITE-100150,NW-03,47.627601,-122.520232,1,TWR-NW-0150,2000,900
100151,Granite Macro Site 28,MSITE-100151,NE-04,41.505555,-69.979863,1,TWR-NE-0151,2000,950
100152,Ridge Rooftop 10,MSITE-100152,SE-02,34.086724,-85.161795,1,TWR-SE-0152,1000,700
100153,Oakview Macro Site 14,MSITE-100153,MW-07,41.63974,-86.765819,1,TWR-MW-0153,2000,1100
100154,Riverbend Node 30,MSITE-100154,SW-01,32.258692,-111.391833,1,TWR-SW-0154,4000,1950
100155,Whitfield Tower 37,MSITE-100155,NW-03,47.566294,-121.371186,1,TWR-NW-0155,4000,1900
100156,Northgate Rooftop 5,MSITE-100156,NE-04,42.786937,-71.651312,1,TWR-NE-0156,1000,400
100157,Willow Micro-Site 1,MSITE-100157,SE-02,33.417801,-85.016507,3,TWR-SE-0157,4000,2350
100158,Oakview Micro-Site 19,MSITE-100158,MW-07,40.712501,-88.232918,1,TWR-MW-0158,1000,300
100159,Crossing Micro-Site 11,MSITE-100159,SW-01,32.846702,-113.26582,2,TWR-SW-0159,2000,500
100160,Harbor Hub 38,MSITE-100160,NW-03,48.677873,-121.931853,1,TWR-NW-0160,10000,7550
100161,Ridge Node 36,MSITE-100161,NE-04,42.053073,-70.116302,1,TWR-NE-0161,4000,2100
100162,Northgate Tower 13,MSITE-100162,SE-02,34.282251,-84.114825,1,TWR-SE-0162,4000,2050
100163,Summit Micro-Site 11,MSITE-100163,MW-07,40.807828,-88.733628,1,TWR-MW-0163,10000,4800
100164,Summit Tower 18,MSITE-100164,SW-01,33.580721,-113.107164,1,TWR-SW-0164,2000,800
100165,Beacon Hub 40,MSITE-100165,NW-03,48.0386,-123.126385,1,TWR-NW-0165,4000,2900
100166,Dunmore Small Cell 14,MSITE-100166,NE-04,43.025651,-69.874358,1,TWR-NE-0166,10000,4050
100167,Granite Tower 27,MSITE-100167,SE-02,32.895542,-84.353057,1,TWR-SE-0167,4000,3000
100168,Crossing Small Cell 15,MSITE-100168,MW-07,42.593057,-87.030184,1,TWR-MW-0168,2000,800
100169,Riverbend Macro Site 7,MSITE-100169,SW-01,32.435113,-111.800127,1,TWR-SW-0169,1000,550
100170,Ashford Small Cell 13,MSITE-100170,NW-03,48.005411,-121.716459,1,TWR-NW-0170,2000,500
100171,Fairview Rooftop 26,MSITE-100171,NE-04,41.266951,-70.653758,1,TWR-NE-0171,500,350
100172,Cedar Hub 28,MSITE-100172,SE-02,33.369207,-85.44083,1,TWR-SE-0172,4000,3050
100173,Summit Hub 29,MSITE-100173,MW-07,42.562621,-87.311293,1,TWR-MW-0173,2000,1150
100174,Fairview Macro Site 16,MSITE-100174,SW-01,32.951585,-111.761604,1,TWR-SW-0174,10000,4150
100175,Ridge Hub 23,MSITE-100175,NW-03,47.870936,-123.004009,1,TWR-NW-0175,2000,1250
100176,Crossing Small Cell 26,MSITE-100176,NE-04,43.504941,-70.889375,1,TWR-NE-0176,1000,400
100177,Beacon Micro-Site 13,MSITE-100177,SE-02,33.938485,-84.397671,1,TWR-SE-0177,2000,650
100178,Ashford Node 37,MSITE-100178,MW-07,41.306493,-86.560362,1,TWR-MW-0178,2000,800
100179,Willow Node 22,MSITE-100179,SW-01,33.855359,-112.921689,1,TWR-SW-0179,1000,300
100180,Granite Node 10,MSITE-100180,NW-03,46.689608,-122.994782,1,TWR-NW-0180,500,250
100181,Willow Small Cell 31,MSITE-100181,NE-04,42.982054,-72.104371,1,TWR-NE-0181,10000,2500
100182,Summit Small Cell 22,MSITE-100182,SE-02,33.43779,-84.781871,1,TWR-SE-0182,4000,2450
100183,Whitfield Micro-Site 14,MSITE-100183,MW-07,42.501087,-88.431717,1,TWR-MW-0183,2000,1350
100184,Dunmore Node 8,MSITE-100184,SW-01,34.573472,-112.998197,1,TWR-SW-0184,500,150
100185,Ridge Small Cell 29,MSITE-100185,NW-03,48.599922,-121.195771,1,TWR-NW-0185,10000,2900
100186,Ridge Rooftop 6,MSITE-100186,NE-04,42.550564,-70.54967,1,TWR-NE-0186,500,300
100187,Beacon Small Cell 21,MSITE-100187,SE-02,34.103835,-85.556569,1,TWR-SE-0187,1000,750
100188,Foxglove Node 23,MSITE-100188,MW-07,41.079766,-87.099454,1,TWR-MW-0188,1000,450
100189,Cedar Tower 6,MSITE-100189,SW-01,32.356102,-111.043113,2,TWR-SW-0189,2000,1100
100190,Summit Rooftop 8,MSITE-100190,NW-03,47.196978,-121.423245,1,TWR-NW-0190,4000,1950
100191,Granite Hub 36,MSITE-100191,NE-04,41.954052,-70.719381,1,TWR-NE-0191,10000,3350
100192,Beacon Node 27,MSITE-100192,SE-02,32.76835,-84.583676,1,TWR-SE-0192,500,250
100193,Harbor Macro Site 19,MSITE-100193,MW-07,41.991876,-88.146785,1,TWR-MW-0193,4000,3000
100194,Dunmore Node 23,MSITE-100194,SW-01,34.396927,-110.896891,1,TWR-SW-0194,10000,3700
100195,Cedar Macro Site 40,MSITE-100195,NW-03,47.344885,-122.196591,1,TWR-NW-0195,500,100
100196,Foxglove Micro-Site 23,MSITE-100196,NE-04,43.239941,-70.286857,1,TWR-NE-0196,10000,5450
100197,Kingsley Rooftop 29,MSITE-100197,SE-02,32.881928,-84.537158,1,TWR-SE-0197,1000,700
100198,Willow Micro-Site 29,MSITE-100198,MW-07,42.966081,-88.22712,1,TWR-MW-0198,1000,400
100199,Crossing Small Cell 27,MSITE-100199,SW-01,34.248478,-112.155711,1,TWR-SW-0199,1000,300
100200,Harbor Micro-Site 6,MSITE-100200,NW-03,47.637125,-122.665279,1,TWR-NW-0200,500,350
100201,Oakview Tower 15,MSITE-100201,NE-04,43.076194,-70.095298,1,TWR-NE-0201,4000,2200
100202,Kingsley Macro Site 31,MSITE-100202,SE-02,33.207807,-84.858009,1,TWR-SE-0202,1000,500
100203,Stonebridge Node 12,MSITE-100203,MW-07,42.737792,-88.525857,1,TWR-MW-0203,1000,750
100204,Foxglove Small Cell 23,MSITE-100204,SW-01,32.649082,-113.22847,1,TWR-SW-0204,2000,800
100205,Fairview Rooftop 34,MSITE-100205,NW-03,48.267466,-122.8477,1,TWR-NW-0205,2000,1000
100206,Ashford Small Cell 4,MSITE-100206,NE-04,42.425168,-70.632063,1,TWR-NE-0206,2000,1050
100207,Stonebridge Small Cell 37,MSITE-100207,SE-02,34.661732,-85.430861,1,TWR-SE-0207,1000,400
100208,Harbor Tower 28,MSITE-100208,MW-07,42.365019,-87.807241,1,TWR-MW-0208,1000,550
100209,Oakview Small Cell 18,MSITE-100209,SW-01,33.700991,-111.509237,1,TWR-SW-0209,1000,450
100210,Fairview Micro-Site 2,MSITE-100210,NW-03,47.367036,-122.420219,1,TWR-NW-0210,10000,7350
100211,Mill Creek Rooftop 39,MSITE-100211,NE-04,42.440676,-70.282533,1,TWR-NE-0211,10000,7800
100212,Kingsley Node 35,MSITE-100212,SE-02,33.757475,-83.90346,1,TWR-SE-0212,10000,6450
100213,Cedar Hub 1,MSITE-100213,MW-07,42.948848,-86.868748,1,TWR-MW-0213,500,200
100214,Ridge Micro-Site 11,MSITE-100214,SW-01,33.449649,-113.197582,1,TWR-SW-0214,2000,750
100215,Ridge Node 19,MSITE-100215,NW-03,48.607419,-121.372643,1,TWR-NW-0215,10000,6550
100216,Summit Macro Site 26,MSITE-100216,NE-04,41.787099,-69.872373,1,TWR-NE-0216,4000,1300
100217,Crossing Tower 3,MSITE-100217,SE-02,33.078822,-84.88814,1,TWR-SE-0217,10000,6500
100218,Lakeshore Tower 22,MSITE-100218,MW-07,41.01091,-88.445929,1,TWR-MW-0218,10000,7450
100219,Cedar Macro Site 9,MSITE-100219,SW-01,32.993465,-111.668128,1,TWR-SW-0219,500,150
100220,Foxglove Tower 15,MSITE-100220,NW-03,48.283367,-121.36663,1,TWR-NW-0220,10000,5550
100221,Summit Tower 2,MSITE-100221,NE-04,42.657854,-71.099082,1,TWR-NE-0221,2000,1550
100222,Mill Creek Micro-Site 19,MSITE-100222,SE-02,33.832572,-83.718738,1,TWR-SE-0222,2000,600
100223,Ridge Tower 36,MSITE-100223,MW-07,43.020028,-87.65496,1,TWR-MW-0223,1000,550
100224,Oakview Node 37,MSITE-100224,SW-01,34.450152,-111.475684,1,TWR-SW-0224,4000,2150
100225,Mill Creek Hub 9,MSITE-100225,NW-03,48.089386,-122.206762,1,TWR-NW-0225,1000,450
100226,Mill Creek Node 22,MSITE-100226,NE-04,41.272811,-70.532462,1,TWR-NE-0226,4000,1450
100227,Riverbend Small Cell 11,MSITE-100227,SE-02,32.998845,-84.730587,1,TWR-SE-0227,1000,550
100228,Kingsley Micro-Site 39,MSITE-100228,MW-07,40.963051,-87.346131,1,TWR-MW-0228,4000,2350
100229,Whitfield Rooftop 10,MSITE-100229,SW-01,33.815042,-112.831758,1,TWR-SW-0229,1000,700
100230,Riverbend Rooftop 68,MSITE-100230,NW-03,48.68854,-123.269608,1,TWR-NW-0230,500,350
100231,Kingsley Micro-Site 38,MSITE-100231,NE-04,42.14756,-71.736784,3,TWR-NE-0231,1000,400
100232,Summit Micro-Site 40,MSITE-100232,SE-02,33.647612,-85.128803,1,TWR-SE-0232,4000,1350
100233,Mill Creek Macro Site 32,MSITE-100233,MW-07,41.364135,-86.713946,1,TWR-MW-0233,10000,7150
100234,Oakview Tower 28,MSITE-100234,SW-01,33.758188,-111.242443,1,TWR-SW-0234,2000,1450
100235,Willow Macro Site 35,MSITE-100235,NW-03,48.401693,-123.46542,1,TWR-NW-0235,4000,1800
100236,Cedar Micro-Site 8,MSITE-100236,NE-04,42.147761,-70.06567,1,TWR-NE-0236,4000,1450
100237,Lakeshore Rooftop 10,MSITE-100237,SE-02,32.650692,-84.046329,1,TWR-SE-0237,2000,1550
100238,Oakview Hub 21,MSITE-100238,MW-07,42.163106,-88.534817,1,TWR-MW-0238,500,150
100239,Kingsley Micro-Site 36,MSITE-100239,SW-01,33.800321,-112.168464,1,TWR-SW-0239,500,100
100240,Mill Creek Hub 7,MSITE-100240,NW-03,46.436576,-122.470239,1,TWR-NW-0240,4000,1450
100241,Riverbend Macro Site 4,MSITE-100241,NE-04,41.740154,-71.041823,1,TWR-NE-0241,4000,3000
100242,Mill Creek Tower 38,MSITE-100242,SE-02,32.989307,-83.773532,1,TWR-SE-0242,1000,400
100243,Willow Tower 31,MSITE-100243,MW-07,42.59864,-87.587824,1,TWR-MW-0243,2000,1450
100244,Willow Small Cell 24,MSITE-100244,SW-01,32.518709,-110.953311,1,TWR-SW-0244,1000,700
100245,Riverbend Hub 32,MSITE-100245,NW-03,47.657813,-122.759452,1,TWR-NW-0245,4000,1150
100246,Ashford Node 6,MSITE-100246,NE-04,42.77268,-70.283344,1,TWR-NE-0246,4000,2500
100247,Foxglove Micro-Site 17,MSITE-100247,SE-02,34.405014,-84.504327,1,TWR-SE-0247,10000,7900
