CIRCUIT_ID,CIRCUIT_NM,A_ASSET_ID,Z_ASSET_ID,CAP_MBPS,ALLOC_MBPS,ROLE_CD,STATUS_CD
CKT-MW-07-001042,Summit Span,100287,100202,1000,350,2,1
CKT-SW-01-001043,Ashford Span,100308,100263,500,360,1,1
CKT-MW-07-001044,Stonebridge Span,100301,100139,1000,200,1,1
CKT-NE-04-001045,Summit Span,100146,100037,10000,6520,1,1
CKT-NW-03-001046,Willow Span,100360,100191,1000,420,3,1
CKT-NE-04-001047,Ashford Span,100340,100391,1000,270,1,1
CKT-NE-04-001048,Fairview Link,100297,100176,1000,650,1,1
CKT-SW-01-001049,Ridge Ring,100089,100156,100,40,2,1
CKT-NE-04-001050,Oakview Backhaul,100371,100393,100,40,2,1
CKT-NE-04-001051,Summit Ring,100384,100235,500,380,3,1
CKT-MW-07-001052,Ridge Span,100199,100328,100,50,3,3
CKT-NW-03-001053,Crossing Span,100158,100062,100,50,1,1
CKT-SE-02-001054,Kingsley Span,100012,100179,100,20,1,1
CKT-NW-03-001055,Fairview Ring,100091,100144,1000,680,1,1
CKT-NE-04-001056,Foxglove Span,100136,100074,1000,410,2,1
CKT-SE-02-001057,Whitfield Span,100170,100049,500,130,1,1
CKT-NW-03-001058,Kingsley Ring,100273,100265,100,30,1,1
CKT-NE-04-001059,Willow Backhaul,100255,100026,1000,280,2,1
CKT-NW-03-001060,Oakview Span,100090,100257,10000,7600,2,1
CKT-SE-02-001061,Northgate Link,100030,100259,10000,7640,1,1
CKT-MW-07-001062,Fairview Ring,100079,100360,100,60,3,1
CKT-NE-04-001063,Granite Ring,100177,100100,500,350,1,1
CKT-NW-03-001064,Crossing Link,100065,100148,10000,6190,1,1
CKT-MW-07-001065,Whitfield Link,100259,100017,500,170,2,1
CKT-SE-02-001066,Northgate Span,100071,100232,100,20,3,1
CKT-MW-07-001067,Lakeshore Span,100003,100082,1000,200,1,1
CKT-SW-01-001068,Stonebridge Link,100067,100186,100,60,1,1
CKT-SW-01-001069,Lakeshore Ring,100128,100055,1000,600,1,1
CKT-NE-04-001070,Crossing Span,100365,100201,100,60,3,3
CKT-NE-04-001071,Ridge Backhaul,100159,100384,100,50,2,3
CKT-SE-02-001072,Foxglove Link,100028,100232,1000,630,1,1
CKT-NE-04-001073,Ridge Backhaul,100213,100037,1000,660,2,1
CKT-SW-01-001074,Oakview Link,100070,100020,10000,2030,1,1
CKT-SE-02-001075,Mill Creek Span,100005,104432,100,40,2,1
CKT-NE-04-001076,Ashford Backhaul,100139,100226,10000,6810,3,1
CKT-MW-07-001077,Kingsley Span,100112,100353,100,60,1,1
CKT-NW-03-001078,Dunmore Ring,100095,100137,1000,780,1,1
CKT-MW-07-001079,Oakview Link,100191,100053,1000,540,1,1
CKT-SE-02-001080,Foxglove Span,100362,100302,10000,5980,1,1
CKT-NW-03-001081,Stonebridge Span,100312,100324,500,390,1,1
CKT-SW-01-001082,Northgate Ring,100166,100012,10000,5240,1,1
CKT-NE-04-001083,Fairview Span,100376,100010,10000,3790,1,1
CKT-NW-03-001084,Lakeshore Ring,100351,100164,100,60,1,1
CKT-NW-03-001085,Kingsley Ring,100053,100375,10000,2430,1,1
CKT-SW-01-001086,Foxglove Backhaul,103301,100329,1000,300,3,1
CKT-SE-02-001087,Cedar Ring,100069,100022,1000,710,1,1
CKT-NW-03-001088,Whitfield Ring,100399,100167,10000,4910,1,1
CKT-SE-02-001089,Beacon Ring,100145,100104,10000,4930,2,1
CKT-NW-03-001090,Mill Creek Span,100379,100126,1000,740,3,1
CKT-MW-07-001091,Summit Link,100112,100010,1000,330,3,1
CKT-NW-03-001092,Kingsley Ring,100015,100395,1000,390,2,1
CKT-MW-07-001093,Beacon Link,100403,100303,1000,210,1,1
CKT-SE-02-001094,Beacon Backhaul,100071,100150,1000,230,1,1
CKT-SW-01-001095,Riverbend Link,100266,100216,10000,6670,1,1
CKT-NE-04-001096,Summit Ring,100381,100262,100,70,1,1
CKT-SE-02-001097,Riverbend Span,100053,100332,10000,6310,2,1
CKT-MW-07-001098,Kingsley Ring,100257,100202,1000,570,2,1
CKT-SW-01-001099,Kingsley Link,100356,100235,10000,5570,2,1
CKT-NW-03-001100,Summit Ring,100229,100074,10000,6270,1,1
CKT-NW-03-001101,Harbor Ring,100128,100109,10000,3440,1,1
CKT-SE-02-001102,Harbor Backhaul,100215,100406,10000,5120,2,1
CKT-SW-01-001103,Cedar Link,100242,100186,1000,580,1,1
CKT-SE-02-001104,Ridge Span,100161,100293,1000,660,1,1
CKT-SW-01-001105,Kingsley Link,100362,100068,10000,3790,2,1
CKT-SW-01-001106,Kingsley Backhaul,100236,100213,500,370,1,1
CKT-NE-04-001107,Lakeshore Link,100170,100086,10000,2380,3,1
CKT-SE-02-001108,Lakeshore Ring,100290,100293,1000,320,2,3
CKT-NW-03-001109,Ridge Backhaul,100313,100186,10000,7120,3,1
CKT-NE-04-001110,Crossing Ring,100203,100180,500,100,1,1
CKT-MW-07-001111,Stonebridge Backhaul,105620,100278,500,200,1,1
CKT-NE-04-001112,Foxglove Span,100084,100240,10000,7130,2,3
CKT-NE-04-001113,Kingsley Span,100024,100205,500,250,1,1
CKT-NE-04-001114,Cedar Backhaul,100252,100339,100,60,2,1
CKT-SE-02-001115,Northgate Backhaul,100328,100276,1000,200,3,1
CKT-SW-01-001116,Foxglove Span,100161,100138,500,150,1,1
CKT-NW-03-001117,Harbor Backhaul,100199,100035,100,20,1,1
CKT-SE-02-001118,Lakeshore Span,100329,100213,10000,4730,1,1
CKT-SE-02-001119,Granite Link,100406,100384,100,70,1,1
CKT-SE-02-001120,Cedar Span,100294,100283,10000,7960,1,1
CKT-MW-07-001121,Fairview Span,100383,100339,10000,4870,1,1
CKT-MW-07-001122,Cedar Ring,100061,100111,500,150,1,1
CKT-NW-03-001123,Dunmore Link,100033,100342,500,180,1,3
CKT-NW-03-001124,Fairview Span,100062,100084,1000,340,1,1
CKT-NW-03-001125,Beacon Span,100275,100328,100,50,1,1
CKT-MW-07-001126,Stonebridge Backhaul,100386,100109,500,230,2,1
CKT-NW-03-001127,Stonebridge Span,100183,100197,10000,4380,1,1
CKT-SW-01-001128,Northgate Span,100203,100395,100,50,1,1
CKT-NW-03-001129,Willow Span,100044,100230,500,130,1,1
CKT-MW-07-001130,Stonebridge Backhaul,100003,100214,500,150,3,3
CKT-NW-03-001131,Stonebridge Ring,100235,100030,10000,3480,1,1
CKT-NW-03-001132,Foxglove Span,100020,100080,100,50,1,1
CKT-NW-03-001133,Willow Span,100379,100148,10000,4800,2,1
CKT-NW-03-001134,Kingsley Span,100227,100232,500,320,3,1
CKT-SE-02-001135,Stonebridge Span,100139,100334,500,240,1,1
CKT-NE-04-001136,Dunmore Ring,100230,100114,500,300,3,1
CKT-MW-07-001137,Foxglove Ring,100210,100171,10000,2240,3,1
CKT-MW-07-001138,Crossing Span,100386,100299,100,40,2,1
CKT-MW-07-001139,Oakview Span,100161,100149,100,30,1,1
CKT-SW-01-001140,Harbor Ring,100342,100021,100,70,1,3
CKT-NE-04-001141,Granite Backhaul,100040,100003,1000,720,3,1
CKT-SE-02-001142,Northgate Ring,100270,100017,10000,6860,1,1
CKT-SE-02-001143,Lakeshore Span,100370,100235,10000,7290,3,1
CKT-NE-04-001144,Willow Link,100343,100217,500,380,3,1
CKT-MW-07-001145,Dunmore Backhaul,100224,100372,100,40,1,1
CKT-SW-01-001146,Willow Backhaul,100051,100059,1000,720,1,1
CKT-SW-01-001147,Mill Creek Span,100327,100122,1000,710,3,1
CKT-SW-01-001148,Foxglove Backhaul,100365,100210,500,390,1,1
CKT-SE-02-001149,Mill Creek Ring,100055,100020,10000,7710,1,1
CKT-MW-07-001150,Granite Backhaul,100227,100144,500,280,1,1
CKT-NW-03-001151,Mill Creek Ring,100040,100388,500,250,1,3
CKT-SW-01-001152,Stonebridge Ring,100256,100263,1000,400,1,1
CKT-SW-01-001153,Dunmore Backhaul,100035,100066,10000,3670,3,1
CKT-SE-02-001154,Summit Span,100355,100078,100,40,1,1
CKT-SE-02-001155,Mill Creek Link,100036,100301,100,60,3,1
CKT-NW-03-001156,Harbor Span,100311,100225,1000,270,1,1
CKT-NW-03-001157,Lakeshore Backhaul,100295,100020,500,170,1,1
CKT-SE-02-001158,Lakeshore Link,100205,100114,1000,340,3,1
CKT-NE-04-001159,Dunmore Link,100307,100189,1000,790,1,1
CKT-SW-01-001160,Foxglove Span,100220,100198,500,210,1,1
CKT-SE-02-001161,Whitfield Ring,100210,100140,100,50,2,1
CKT-SE-02-001162,Oakview Backhaul,100160,100183,10000,7330,1,1
CKT-NW-03-001163,Dunmore Span,100076,100364,1000,400,2,1
CKT-NW-03-001164,Willow Ring,100344,100020,10000,3810,1,1
CKT-MW-07-001165,Ridge Backhaul,100036,100171,1000,500,1,1
CKT-MW-07-001166,Summit Ring,100067,100038,1000,640,1,1
CKT-SW-01-001167,Riverbend Ring,100336,100267,1000,580,3,1
CKT-NE-04-001168,Summit Ring,100137,100395,500,360,3,1
CKT-SE-02-001169,Fairview Link,100328,100220,500,170,1,1
CKT-NE-04-001170,Oakview Backhaul,100141,100115,500,180,2,1
CKT-SW-01-001171,Riverbend Ring,100215,100046,100,60,2,1
CKT-NW-03-001172,Lakeshore Ring,100008,100380,500,240,1,1
CKT-NE-04-001173,Beacon Link,100394,100216,500,280,1,1
CKT-MW-07-001174,Summit Backhaul,100180,100290,100,70,1,1
CKT-NW-03-001175,Kingsley Link,100108,100019,500,210,1,1
CKT-SE-02-001176,Granite Backhaul,100086,100342,100,50,2,1
CKT-MW-07-001177,Oakview Span,100033,100004,500,180,1,1
CKT-SE-02-001178,Fairview Backhaul,100166,100147,500,150,3,1
CKT-SW-01-001179,Cedar Span,100210,100285,1000,500,1,1
CKT-MW-07-001180,Cedar Span,100016,100344,1000,620,1,1
CKT-SE-02-001181,Mill Creek Link,100130,100339,100,20,1,1
CKT-SE-02-001182,Kingsley Ring,100302,100214,1000,210,2,1
CKT-NE-04-001183,Mill Creek Span,100298,100080,100,50,2,1
CKT-SE-02-001184,Crossing Link,100227,100023,10000,6730,1,1
CKT-MW-07-001185,Ashford Backhaul,100317,100255,1000,410,1,1
CKT-SW-01-001186,Crossing Link,100095,100360,100,40,1,1
CKT-NW-03-001187,Stonebridge Link,100057,100008,10000,2260,2,1
CKT-NW-03-001188,Northgate Backhaul,100138,100064,500,270,1,1
CKT-SW-01-001189,Fairview Link,100173,100367,10000,3930,1,1
CKT-MW-07-001190,Dunmore Span,100382,100110,500,340,1,1
CKT-MW-07-001191,Whitfield Ring,100031,100034,100,20,1,1
CKT-NW-03-001192,Riverbend Link,100290,100319,100,50,3,1
CKT-NW-03-001193,Summit Backhaul,100190,100059,10000,2020,1,1
CKT-SW-01-001194,Oakview Backhaul,100018,100191,500,100,1,1
CKT-SW-01-001195,Cedar Ring,100404,100063,10000,2620,1,1
CKT-MW-07-001196,Stonebridge Backhaul,100122,100151,10000,7760,1,1
CKT-NE-04-001197,Northgate Ring,100237,100119,10000,7560,1,1
CKT-NW-03-001198,Summit Ring,100086,100093,500,220,1,1
CKT-SW-01-001199,Lakeshore Ring,100332,100012,100,30,2,1
CKT-MW-07-001200,Riverbend Link,100002,100291,10000,2710,1,1
CKT-MW-07-001201,Cedar Ring,100024,100189,1000,410,1,1
CKT-NE-04-001202,Cedar Backhaul,100140,100053,100,20,1,1
CKT-NE-04-001203,Northgate Span,100102,100211,100,50,1,1
CKT-SE-02-001204,Lakeshore Span,100252,100092,1000,450,1,1
CKT-NW-03-001205,Lakeshore Span,100313,100216,100,60,1,1
CKT-SW-01-001206,Harbor Backhaul,100239,100332,1000,430,3,1
CKT-MW-07-001207,Oakview Ring,100116,100151,10000,2140,3,1
CKT-SE-02-001208,Ashford Link,100100,100098,500,320,3,1
CKT-SE-02-001209,Dunmore Ring,100141,100185,100,40,1,1
CKT-NW-03-001210,Stonebridge Ring,100055,100358,1000,560,3,1
CKT-SE-02-001211,Ridge Backhaul,100319,100254,1000,510,1,1
CKT-MW-07-001212,Ridge Span,100220,100046,10000,2810,1,1
CKT-SE-02-001213,Kingsley Span,100054,100218,1000,340,1,1
CKT-SW-01-001214,Mill Creek Backhaul,100268,100111,500,220,1,1
CKT-SW-01-001215,Harbor Span,100171,100345,100,30,3,1
CKT-NE-04-001216,Whitfield Backhaul,100398,100191,10000,4180,1,1
CKT-NW-03-001217,Riverbend Backhaul,100282,100303,100,60,3,1
CKT-SW-01-001218,Dunmore Link,100358,100221,1000,280,1,1
CKT-MW-07-001219,Beacon Link,100057,100232,100,20,3,1
CKT-MW-07-001220,Lakeshore Backhaul,100213,100344,500,330,1,1
CKT-MW-07-001221,Harbor Backhaul,100399,100161,100,40,2,1
CKT-NW-03-001222,Mill Creek Backhaul,100169,100158,10000,7130,1,1
CKT-NW-03-001223,Ridge Ring,100085,100238,100,60,1,1
CKT-NW-03-001224,Dunmore Backhaul,100315,100184,100,30,3,1
CKT-NE-04-001225,Willow Backhaul,100363,100021,1000,240,1,1
CKT-NW-03-001226,Cedar Link,100270,100119,500,330,1,1
CKT-SE-02-001227,Oakview Ring,100182,100206,10000,3570,1,1
CKT-MW-07-001228,Summit Ring,100405,100229,10000,5390,1,1
CKT-MW-07-001229,Fairview Backhaul,100106,100217,1000,320,1,1
CKT-SE-02-001230,Ashford Backhaul,100144,100133,500,210,2,1
CKT-SW-01-001231,Oakview Ring,100222,100381,100,40,2,3
CKT-SW-01-001232,Ashford Ring,100002,100208,10000,7850,3,1
CKT-NW-03-001233,Ashford Ring,100309,100218,1000,350,1,1
CKT-MW-07-001234,Whitfield Backhaul,100294,100289,10000,4410,1,1
CKT-SW-01-001235,Foxglove Link,100190,100398,1000,650,2,1
CKT-NW-03-001236,Oakview Span,100375,100273,500,230,1,3
CKT-NW-03-001237,Lakeshore Backhaul,100106,100045,100,50,1,1
CKT-SE-02-001238,Whitfield Link,100169,100249,500,220,1,1
CKT-NE-04-001239,Cedar Link,100289,100073,1000,610,1,1
