ACCT_ID,BILLING_REF,CUST_NM,TAX_ID,SVC_ADDR,PROVINCE,PLAN_CD,PLAN_FEE,INCLUDED_GB,PREV_PLAN_FEE,PLAN_CHG_DAY,LINE_CNT,PROMO_AMT,PROMO_DT,SUSP_START,SUSP_END,PRIOR_BAL,PRIOR_DUE,LOYALTY_PCT
MER-011070,TN-0012,Gaspesie School Board Corp.,31-3218398,"2592 Boulevard Charest, Quebec City, QC G1K 3H8",QC,ENT-2500,2400.0,2500,0.0,0,8,0.0,,0,0,0.0,,8.0
MER-011077,TN-0013,Richelieu Engineering Inc.,87-3227262,"1305 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-1000,1150.0,1000,640.0,26,8,120.0,2026-07-12,0,0,0.0,,0.0
MER-011084,TN-0014,Algonquin Media Networks ULC,70-8205283,"4200 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,BIZ-500,640.0,500,0.0,0,2,75.0,2026-07-18,0,0,872.6,2026-06-14,5.0
MER-011091,TN-0015,Georgian Bay Energy Services Corp.,99-7390991,"2986 King St W, Kitchener, ON N2G 1B3",ON,BIZ-250,380.0,250,0.0,0,4,0.0,,0,0,0.0,,8.0
MER-011098,TN-0016,Redwater Engineering Ltd.,40-2193687,"3679 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-5000,4200.0,5000,2400.0,17,2,0.0,,0,0,687.19,2026-06-14,0.0
MER-011105,TN-0017,Selkirk Credit Union Ltd.,45-1440637,"4111 Columbia Ave, Kamloops, BC V2C 1L2",BC,ENT-2500,2400.0,2500,0.0,0,4,75.0,2026-07-18,0,0,0.0,,4.0
MER-011112,TN-0018,Trillium School Board Ltd.,41-4290620,"1957 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-1000,1150.0,1000,0.0,0,11,350.0,2026-07-06,0,0,0.0,,4.0
MER-011119,TN-0019,Kootenay Media Networks Ltd.,65-3294539,"4759 Bay St, Toronto, ON M5J 2T3",ON,BIZ-500,640.0,500,380.0,21,11,0.0,,0,0,887.47,2026-06-25,0.0
MER-011126,TN-0020,Laurentide Hospitality Group ULC,47-9519278,"611 Boulevard Charest, Quebec City, QC G1K 3H8",QC,BIZ-250,380.0,250,0.0,0,22,0.0,,0,0,0.0,,0.0
MER-011133,TN-0021,Saguenay Food Distribution ULC,33-7787790,"1838 Douglas St, Victoria, BC V8W 2B7",BC,ENT-5000,4200.0,5000,0.0,0,22,350.0,2026-06-22,0,0,888.36,2026-06-19,4.0
MER-011140,TN-0022,Fraser Health Network Inc.,49-5288579,"3660 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-2500,2400.0,2500,1150.0,4,14,75.0,2026-07-18,0,0,0.0,,5.0
MER-011147,TN-0023,Beauport Retail Group Corp.,80-3645766,"1673 Bay St, Toronto, ON M5J 2T3",ON,ENT-1000,1150.0,1000,0.0,0,22,0.0,,0,0,0.0,,8.0
MER-011154,TN-0024,Athabasca Credit Union Corp.,89-3807716,"982 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,BIZ-500,640.0,500,0.0,0,11,0.0,,0,0,1497.69,2026-06-19,5.0
MER-011161,TN-0025,Cascade Retail Group Ltd.,70-2915232,"3227 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-250,380.0,250,4200.0,12,6,200.0,2026-06-22,0,0,0.0,,0.0
MER-011168,TN-0026,Gaspesie Engineering Corp.,22-7420139,"1202 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-5000,4200.0,5000,0.0,0,11,120.0,2026-07-18,0,0,2335.21,2026-06-25,3.0
MER-011175,TN-0027,Saint-Laurent Media Networks Ltd.,57-8947387,"4682 King St W, Kitchener, ON N2G 1B3",ON,ENT-2500,2400.0,2500,0.0,0,6,0.0,,0,0,0.0,,8.0
MER-011182,TN-0028,Beauport School Board Inc.,98-5073884,"1301 Boulevard Charest, Quebec City, QC G1K 3H8",QC,ENT-1000,1150.0,1000,640.0,4,4,0.0,,0,0,0.0,,0.0
MER-011189,TN-0029,Gaspesie Credit Union Corp.,53-2798954,"395 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,BIZ-500,640.0,500,0.0,0,8,75.0,2026-06-22,0,0,570.87,2026-06-25,4.0
MER-011196,TN-0030,Fraser Credit Union ULC,74-4439547,"824 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,BIZ-250,380.0,250,0.0,0,1,75.0,2026-06-24,0,0,0.0,,0.0
MER-011203,TN-0031,Trillium Hospitality Group Inc.,98-6544861,"1065 King St W, Kitchener, ON N2G 1B3",ON,ENT-5000,4200.0,5000,2400.0,26,11,0.0,,0,0,472.9,2026-06-14,5.0
MER-011210,TN-0032,Prairie Rose Transit Authority ULC,82-7680259,"4688 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-2500,2400.0,2500,0.0,0,14,0.0,,0,0,0.0,,5.0
MER-011217,TN-0033,Saguenay Manufacturing Inc.,54-5548782,"2843 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-1000,1150.0,1000,0.0,0,14,200.0,2026-06-22,18,21,0.0,,5.0
MER-011224,TN-0034,Rideau School Board Ltd.,21-6152668,"1500 Gaetz Ave, Red Deer, AB T4N 4E1",AB,BIZ-500,640.0,500,380.0,4,22,350.0,2026-06-22,0,0,1764.37,2026-06-19,5.0
MER-011231,TN-0035,Coquitlam Logistics Ltd.,54-1985497,"70 Ouellette Ave, Windsor, ON N9A 1C4",ON,BIZ-250,380.0,250,0.0,0,11,0.0,,0,0,0.0,,3.0
MER-011238,TN-0036,Coquitlam Engineering Inc.,81-1746478,"1654 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,ENT-5000,4200.0,5000,0.0,0,22,0.0,,0,0,1966.94,2026-06-19,3.0
MER-011245,TN-0037,Wapiti Hospitality Group Ltd.,28-3181069,"4233 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-2500,2400.0,2500,1150.0,21,14,350.0,2026-06-29,0,0,0.0,,4.0
MER-011252,TN-0038,Prairie Rose Credit Union ULC,32-7935137,"70 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,ENT-1000,1150.0,1000,0.0,0,2,120.0,2026-06-29,0,0,0.0,,8.0
MER-011259,TN-0039,Georgian Bay Logistics Inc.,24-2005893,"961 King St W, Kitchener, ON N2G 1B3",ON,BIZ-500,640.0,500,0.0,0,1,0.0,,0,0,397.99,2026-06-10,5.0
MER-011266,TN-0040,Gaspesie Food Distribution Inc.,15-2164337,"3509 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,BIZ-250,380.0,250,4200.0,12,22,0.0,,0,0,0.0,,5.0
MER-011273,TN-0041,Saguenay Logistics Ltd.,78-3910465,"163 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-5000,4200.0,5000,0.0,0,4,350.0,2026-07-12,0,0,918.51,2026-06-25,5.0
MER-011280,TN-0042,Saguenay Food Distribution Ltd.,55-8430110,"1321 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-2500,2400.0,2500,0.0,0,11,200.0,2026-06-29,0,0,0.0,,3.0
MER-011287,TN-0043,Beauport Hospitality Group Corp.,33-7500637,"3310 King St W, Kitchener, ON N2G 1B3",ON,ENT-1000,1150.0,1000,640.0,12,11,0.0,,0,0,0.0,,3.0
MER-011294,TN-0044,Bonaventure Credit Union ULC,72-8030439,"606 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,BIZ-500,640.0,500,0.0,0,2,0.0,,0,0,552.07,2026-06-25,3.0
MER-011301,TN-0045,Prairie Rose Analytics Inc.,76-3553620,"4013 Douglas St, Victoria, BC V8W 2B7",BC,BIZ-250,380.0,250,0.0,0,3,120.0,2026-07-06,0,0,0.0,,3.0
MER-011308,TN-0046,Bonaventure Analytics Ltd.,12-1179608,"3555 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,ENT-5000,4200.0,5000,2400.0,17,8,120.0,2026-06-27,0,0,2479.5,2026-06-25,8.0
MER-011315,TN-0047,Kootenay Media Networks Corp.,48-4366042,"2436 Bay St, Toronto, ON M5J 2T3",ON,ENT-2500,2400.0,2500,0.0,0,4,0.0,,0,0,0.0,,3.0
MER-011322,TN-0048,Prairie Rose Engineering ULC,27-4978465,"1021 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,ENT-1000,1150.0,1000,0.0,0,2,0.0,,0,0,0.0,,5.0
MER-011329,TN-0049,Cascade Credit Union Corp.,69-7284776,"2519 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-500,640.0,500,380.0,12,14,75.0,2026-07-12,0,0,2448.06,2026-06-14,4.0
MER-011336,TN-0050,Wapiti Energy Services Corp.,20-6585458,"207 Gaetz Ave, Red Deer, AB T4N 4E1",AB,BIZ-250,380.0,250,0.0,0,4,120.0,2026-07-12,0,0,0.0,,4.0
MER-011343,TN-0051,Lakeshore Manufacturing Ltd.,29-2098419,"912 King St W, Kitchener, ON N2G 1B3",ON,ENT-5000,4200.0,5000,0.0,0,11,0.0,,0,0,803.27,2026-06-14,4.0
MER-011350,TN-0052,Selkirk Transit Authority Inc.,48-4528327,"2503 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-2500,2400.0,2500,1150.0,12,14,0.0,,0,0,0.0,,0.0
MER-011357,TN-0053,Laurentide Food Distribution Corp.,94-4054503,"3184 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-1000,1150.0,1000,0.0,0,1,75.0,2026-07-18,0,0,0.0,,4.0
MER-011364,TN-0054,Nechako Transit Authority Corp.,46-3114599,"1970 Jasper Ave, Edmonton, AB T5J 1W8",AB,BIZ-500,640.0,500,0.0,0,6,350.0,2026-07-18,0,0,416.29,2026-06-14,8.0
MER-011371,TN-0055,Athabasca Logistics ULC,19-9823144,"2209 Ouellette Ave, Windsor, ON N9A 1C4",ON,BIZ-250,380.0,250,4200.0,4,11,0.0,,0,0,0.0,,0.0
MER-011378,TN-0056,Bow River Manufacturing Ltd.,83-8870920,"121 Rue Sainte-Catherine, Montreal, QC H3B 1A7",QC,ENT-5000,4200.0,5000,0.0,0,14,0.0,,0,0,1551.68,2026-06-14,5.0
MER-011385,TN-0057,Kootenay School Board Inc.,66-1312756,"3058 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-2500,2400.0,2500,0.0,0,14,350.0,2026-07-06,0,0,0.0,,5.0
MER-011392,TN-0058,Gaspesie Food Distribution Corp.,62-5792628,"971 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,ENT-1000,1150.0,1000,640.0,12,6,120.0,2026-07-06,11,20,0.0,,4.0
MER-011399,TN-0059,Peace River Retail Group ULC,79-1399614,"3407 Ouellette Ave, Windsor, ON N9A 1C4",ON,BIZ-500,640.0,500,0.0,0,2,0.0,,0,0,510.42,2026-06-10,0.0
MER-011406,TN-0060,Trillium Health Network Inc.,48-5541875,"26 Boulevard Charest, Quebec City, QC G1K 3H8",QC,BIZ-250,380.0,250,0.0,0,4,0.0,,0,0,0.0,,3.0
MER-011413,TN-0061,Peace River Analytics Corp.,30-2236705,"4779 Douglas St, Victoria, BC V8W 2B7",BC,ENT-5000,4200.0,5000,2400.0,4,8,120.0,2026-06-27,0,0,994.25,2026-06-19,8.0
MER-011420,TN-0062,Saguenay Media Networks Inc.,51-5504747,"4021 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-2500,2400.0,2500,0.0,0,11,75.0,2026-06-27,0,0,0.0,,5.0
MER-011427,TN-0063,Wapiti Logistics ULC,29-7776308,"2151 Elgin St, Ottawa, ON K2P 1L4",ON,ENT-1000,1150.0,1000,0.0,0,22,0.0,,0,0,0.0,,4.0
MER-011434,TN-0064,Georgian Bay Engineering Ltd.,68-3491704,"3283 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,BIZ-500,640.0,500,380.0,26,2,0.0,,0,0,1064.47,2026-06-14,0.0
MER-011441,TN-0065,Cascade Analytics Inc.,78-1782389,"4743 Douglas St, Victoria, BC V8W 2B7",BC,BIZ-250,380.0,250,0.0,0,3,75.0,2026-07-18,0,0,0.0,,5.0
MER-011448,TN-0066,Athabasca Retail Group Inc.,64-4178088,"1860 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-5000,4200.0,5000,0.0,0,4,75.0,2026-07-06,0,0,685.71,2026-06-10,3.0
MER-011455,TN-0067,Nechako Credit Union Ltd.,53-5051745,"2329 Elgin St, Ottawa, ON K2P 1L4",ON,ENT-2500,2400.0,2500,1150.0,21,4,0.0,,0,0,0.0,,3.0
MER-011462,TN-0068,Wapiti Mining ULC,86-8641610,"1067 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,ENT-1000,1150.0,1000,0.0,0,14,0.0,,0,0,0.0,,5.0
MER-011469,TN-0069,Saint-Laurent Media Networks ULC,70-4427203,"2600 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-500,640.0,500,0.0,0,2,120.0,2026-06-24,0,0,422.92,2026-06-10,4.0
MER-011476,TN-0070,Cascade Manufacturing Inc.,51-9696231,"848 Jasper Ave, Edmonton, AB T5J 1W8",AB,BIZ-250,380.0,250,4200.0,4,6,350.0,2026-07-18,0,0,0.0,,0.0
MER-011483,TN-0071,Sherbrooke School Board Corp.,38-6980800,"4041 Bay St, Toronto, ON M5J 2T3",ON,ENT-5000,4200.0,5000,0.0,0,6,0.0,,0,0,377.4,2026-06-19,5.0
MER-011490,TN-0072,Coquitlam Hospitality Group Corp.,72-5115569,"2440 Rue Sainte-Catherine, Montreal, QC H3B 1A7",QC,ENT-2500,2400.0,2500,0.0,0,11,0.0,,0,0,0.0,,4.0
MER-011497,TN-0073,Beauport Food Distribution Corp.,38-3088640,"2875 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-1000,1150.0,1000,640.0,21,3,200.0,2026-06-27,0,0,0.0,,8.0
MER-011504,TN-0074,Laurentide Logistics Corp.,54-9629906,"214 Jasper Ave, Edmonton, AB T5J 1W8",AB,BIZ-500,640.0,500,0.0,0,6,75.0,2026-06-22,0,0,849.11,2026-06-25,5.0
MER-011511,TN-0075,Coquitlam Biotech Ltd.,32-7070359,"4333 Ouellette Ave, Windsor, ON N9A 1C4",ON,BIZ-250,380.0,250,0.0,0,11,0.0,,0,0,0.0,,0.0
MER-011518,TN-0076,Richelieu Transit Authority Ltd.,54-1869876,"4635 Rue Sainte-Catherine, Montreal, QC H3B 1A7",QC,ENT-5000,4200.0,5000,2400.0,21,2,0.0,,0,0,1261.49,2026-06-19,3.0
MER-011525,TN-0077,Sherbrooke Biotech Ltd.,23-9703249,"1028 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-2500,2400.0,2500,0.0,0,6,75.0,2026-06-22,0,0,0.0,,8.0
MER-011532,TN-0078,Nechako Biotech Inc.,99-3513695,"567 Gaetz Ave, Red Deer, AB T4N 4E1",AB,ENT-1000,1150.0,1000,0.0,0,6,75.0,2026-06-27,0,0,0.0,,8.0
MER-011539,TN-0079,Bonaventure Hospitality Group Inc.,14-3004491,"2797 Bay St, Toronto, ON M5J 2T3",ON,BIZ-500,640.0,500,380.0,21,6,0.0,,0,0,2372.77,2026-06-30,3.0
MER-011546,TN-0080,Wapiti Manufacturing Corp.,53-1557302,"1432 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,BIZ-250,380.0,250,0.0,0,4,0.0,,0,0,0.0,,3.0
MER-011553,TN-0081,Trillium Credit Union Inc.,80-8409989,"4584 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-5000,4200.0,5000,0.0,0,1,200.0,2026-06-22,0,0,2204.85,2026-06-19,5.0
MER-011560,TN-0082,Saint-Laurent Logistics Inc.,27-1672367,"1217 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,ENT-2500,2400.0,2500,1150.0,9,4,120.0,2026-06-27,0,0,0.0,,4.0
MER-011567,TN-0083,Chinook Health Network Inc.,93-7268609,"406 Bay St, Toronto, ON M5J 2T3",ON,ENT-1000,1150.0,1000,0.0,0,3,0.0,,18,27,0.0,,4.0
MER-011574,TN-0084,Bow River Logistics Corp.,13-4284316,"2273 Boulevard Charest, Quebec City, QC G1K 3H8",QC,BIZ-500,640.0,500,0.0,0,2,0.0,,0,0,2570.96,2026-06-19,4.0
MER-011581,TN-0085,Gaspesie Media Networks Inc.,98-4885224,"4747 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-250,380.0,250,4200.0,17,8,350.0,2026-06-29,0,0,0.0,,5.0
MER-011588,TN-0086,Wapiti Logistics Ltd.,42-3839901,"1526 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-5000,4200.0,5000,0.0,0,4,75.0,2026-07-18,0,0,1941.29,2026-06-14,4.0
MER-011595,TN-0087,Chinook Food Distribution Ltd.,96-1296231,"3973 King St W, Kitchener, ON N2G 1B3",ON,ENT-2500,2400.0,2500,0.0,0,3,0.0,,0,0,0.0,,5.0
MER-011602,TN-0088,Wapiti Analytics Corp.,45-6414459,"1047 Boulevard Charest, Quebec City, QC G1K 3H8",QC,ENT-1000,1150.0,1000,640.0,9,1,0.0,,0,0,0.0,,8.0
MER-011609,TN-0089,Sherbrooke Analytics Corp.,23-3022990,"4393 Douglas St, Victoria, BC V8W 2B7",BC,BIZ-500,640.0,500,0.0,0,2,200.0,2026-06-24,0,0,2527.92,2026-06-10,8.0
MER-011616,TN-0090,Beauport Food Distribution ULC,26-6801802,"1446 Gaetz Ave, Red Deer, AB T4N 4E1",AB,BIZ-250,380.0,250,0.0,0,3,200.0,2026-07-06,0,0,0.0,,0.0
MER-011623,TN-0091,Bow River Health Network Corp.,83-1285022,"74 Ouellette Ave, Windsor, ON N9A 1C4",ON,ENT-5000,4200.0,5000,2400.0,9,11,0.0,,0,0,489.1,2026-06-14,3.0
MER-011630,TN-0092,Laurentide Mining Corp.,18-9533967,"2082 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-2500,2400.0,2500,0.0,0,6,0.0,,0,0,0.0,,8.0
MER-011637,TN-0093,Bow River School Board Ltd.,38-5199536,"803 Columbia Ave, Kamloops, BC V2C 1L2",BC,ENT-1000,1150.0,1000,0.0,0,22,120.0,2026-07-12,0,0,0.0,,5.0
MER-011644,TN-0094,Sherbrooke Analytics Inc.,58-9310527,"1779 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,BIZ-500,640.0,500,380.0,17,3,120.0,2026-07-12,0,0,885.85,2026-06-10,0.0
MER-011651,TN-0095,Wapiti Food Distribution Corp.,11-7950927,"3322 Elgin St, Ottawa, ON K2P 1L4",ON,BIZ-250,380.0,250,0.0,0,3,0.0,,0,0,0.0,,8.0
MER-011658,TN-0096,Humber Hospitality Group Inc.,86-3318613,"794 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-5000,4200.0,5000,0.0,0,6,0.0,,0,0,494.79,2026-06-10,8.0
MER-011665,TN-0097,Rideau Transit Authority ULC,24-4024414,"173 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-2500,2400.0,2500,1150.0,12,6,200.0,2026-06-24,0,0,0.0,,4.0
MER-011672,TN-0098,Laurentide Health Network ULC,94-9797201,"2405 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-1000,1150.0,1000,0.0,0,6,350.0,2026-06-29,0,0,0.0,,8.0
MER-011679,TN-0099,Wapiti Health Network Inc.,22-9917945,"562 Bay St, Toronto, ON M5J 2T3",ON,BIZ-500,640.0,500,0.0,0,2,0.0,,0,0,1704.41,2026-06-25,4.0
MER-011686,TN-0100,Laurentide Retail Group ULC,97-7608234,"3280 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,BIZ-250,380.0,250,4200.0,9,22,0.0,,0,0,0.0,,3.0
MER-011693,TN-0101,Chinook School Board Inc.,51-3172551,"3911 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-5000,4200.0,5000,0.0,0,6,350.0,2026-06-24,0,0,198.32,2026-06-30,3.0
MER-011700,TN-0102,Laurentide Food Distribution Ltd.,49-7920438,"4126 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-2500,2400.0,2500,0.0,0,14,350.0,2026-06-27,0,0,0.0,,4.0
MER-011707,TN-0103,Humber Logistics ULC,29-1032584,"513 King St W, Kitchener, ON N2G 1B3",ON,ENT-1000,1150.0,1000,640.0,12,8,0.0,,0,0,0.0,,0.0
MER-011714,TN-0104,Humber Engineering Ltd.,48-7114965,"2007 Boulevard Charest, Quebec City, QC G1K 3H8",QC,BIZ-500,640.0,500,0.0,0,6,0.0,,0,0,1773.47,2026-06-30,4.0
MER-011721,TN-0105,Kootenay Energy Services Ltd.,55-8968039,"776 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,BIZ-250,380.0,250,0.0,0,11,200.0,2026-06-29,0,0,0.0,,8.0
MER-011728,TN-0106,Sherbrooke Hospitality Group Corp.,42-6708154,"2870 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,ENT-5000,4200.0,5000,2400.0,12,4,75.0,2026-06-24,0,0,931.18,2026-06-30,3.0
MER-011735,TN-0107,Gaspesie Health Network ULC,50-3946621,"798 Ouellette Ave, Windsor, ON N9A 1C4",ON,ENT-2500,2400.0,2500,0.0,0,22,0.0,,0,0,0.0,,8.0
MER-011742,TN-0108,Chinook Credit Union Inc.,73-6214182,"2982 Rue Sainte-Catherine, Montreal, QC H3B 1A7",QC,ENT-1000,1150.0,1000,0.0,0,6,0.0,,11,14,0.0,,0.0
MER-011749,TN-0109,Athabasca Transit Authority Ltd.,95-9830650,"3755 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-500,640.0,500,380.0,12,11,200.0,2026-07-06,0,0,921.65,2026-06-19,8.0
MER-011756,TN-0110,Saint-Laurent Analytics Ltd.,17-9443909,"2272 Gaetz Ave, Red Deer, AB T4N 4E1",AB,BIZ-250,380.0,250,0.0,0,4,75.0,2026-07-06,0,0,0.0,,4.0
MER-011763,TN-0111,Fraser Health Network ULC,28-7831270,"4450 Elgin St, Ottawa, ON K2P 1L4",ON,ENT-5000,4200.0,5000,0.0,0,2,0.0,,0,0,2270.68,2026-06-30,5.0
MER-011770,TN-0112,Peace River Logistics Corp.,41-1873104,"691 Boulevard Charest, Quebec City, QC G1K 3H8",QC,ENT-2500,2400.0,2500,1150.0,17,3,0.0,,0,0,0.0,,8.0
MER-011777,TN-0113,Trillium Manufacturing Corp.,41-2004616,"2372 Columbia Ave, Kamloops, BC V2C 1L2",BC,ENT-1000,1150.0,1000,0.0,0,4,200.0,2026-06-24,0,0,0.0,,4.0
MER-011784,TN-0114,Bow River Food Distribution Ltd.,37-7679800,"2908 Jasper Ave, Edmonton, AB T5J 1W8",AB,BIZ-500,640.0,500,0.0,0,6,120.0,2026-06-24,0,0,410.03,2026-06-30,3.0
MER-011791,TN-0115,Bow River Health Network Ltd.,83-6375117,"648 Ouellette Ave, Windsor, ON N9A 1C4",ON,BIZ-250,380.0,250,4200.0,21,11,0.0,,0,0,0.0,,4.0
MER-011798,TN-0116,Kootenay Engineering Ltd.,94-7241039,"3538 Boulevard Charest, Quebec City, QC G1K 3H8",QC,ENT-5000,4200.0,5000,0.0,0,14,0.0,,0,0,1596.29,2026-06-25,0.0
MER-011805,TN-0117,Richelieu Retail Group Inc.,56-7099171,"55 Columbia Ave, Kamloops, BC V2C 1L2",BC,ENT-2500,2400.0,2500,0.0,0,14,75.0,2026-06-22,0,0,0.0,,3.0
MER-011812,TN-0118,Beauport Retail Group Ltd.,52-9902429,"3939 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-1000,1150.0,1000,640.0,17,1,120.0,2026-06-24,0,0,0.0,,4.0
MER-011819,TN-0119,Bonaventure Transit Authority Inc.,90-4392932,"2198 King St W, Kitchener, ON N2G 1B3",ON,BIZ-500,640.0,500,0.0,0,11,0.0,,0,0,1231.98,2026-06-30,4.0
MER-011826,TN-0120,Trillium Energy Services Inc.,88-7366340,"4753 Rue Sainte-Catherine, Montreal, QC H3B 1A7",QC,BIZ-250,380.0,250,0.0,0,1,0.0,,0,0,0.0,,0.0
MER-011833,TN-0121,Bow River Manufacturing Corp.,16-9281973,"1800 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-5000,4200.0,5000,2400.0,12,1,350.0,2026-07-06,0,0,377.62,2026-06-25,0.0
MER-011840,TN-0122,Lakeshore Media Networks Corp.,35-5324540,"871 Gaetz Ave, Red Deer, AB T4N 4E1",AB,ENT-2500,2400.0,2500,0.0,0,11,120.0,2026-06-27,0,0,0.0,,8.0
MER-011847,TN-0123,Nechako Analytics Corp.,78-7402369,"4650 Ouellette Ave, Windsor, ON N9A 1C4",ON,ENT-1000,1150.0,1000,0.0,0,2,0.0,,0,0,0.0,,8.0
MER-011854,TN-0124,Algonquin Retail Group Ltd.,22-5474028,"4087 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,BIZ-500,640.0,500,380.0,21,4,0.0,,0,0,2186.15,2026-06-10,8.0
