device_name,region,role,mgmt_ip,site_cd,external_bgp
firewall-SW-01-22,SW-01,firewall,10.20.29.47,MSITE-100106,0
cell-site-router-SW-01-23,SW-01,cell,10.20.29.50,MSITE-100107,0
core-router-SW-01-24,SW-01,core,10.20.29.53,MSITE-100108,0
agg-switch-SW-01-25,SW-01,agg,10.20.30.20,MSITE-100109,0
agg-switch-SW-01-26,SW-01,agg,10.20.30.23,MSITE-100110,0
agg-switch-SW-01-27,SW-01,agg,10.20.30.26,MSITE-100111,0
cell-site-router-SW-01-28,SW-01,cell,10.20.30.29,MSITE-100112,0
core-router-NW-03-01,NW-03,core,10.20.36.20,MSITE-100113,0
core-router-NW-03-02,NW-03,core,10.20.36.23,MSITE-100114,0
firewall-NW-03-03,NW-03,firewall,10.20.36.26,MSITE-100115,0
olt-NW-03-04,NW-03,olt,10.20.36.29,MSITE-100116,0
olt-NW-03-05,NW-03,olt,10.20.36.32,MSITE-100117,0
firewall-NW-03-06,NW-03,firewall,10.20.36.35,MSITE-100118,0
cell-site-router-NW-03-07,NW-03,cell,10.20.36.38,MSITE-100119,0
agg-switch-NW-03-08,NW-03,agg,10.20.36.41,MSITE-100120,0
core-router-NW-03-09,NW-03,core,10.20.36.44,MSITE-100121,0
firewall-NW-03-10,NW-03,firewall,10.20.36.47,MSITE-100122,0
olt-NW-03-11,NW-03,olt,10.20.36.50,MSITE-100123,0
agg-switch-NW-03-12,NW-03,agg,10.20.36.53,MSITE-100124,0
olt-NW-03-13,NW-03,olt,10.20.37.20,MSITE-100125,0
olt-NW-03-14,NW-03,olt,10.20.37.23,MSITE-100126,0
cell-site-router-NW-03-15,NW-03,cell,10.20.37.26,MSITE-100127,0
agg-switch-NW-03-16,NW-03,agg,10.20.37.29,MSITE-100128,0
olt-NW-03-17,NW-03,olt,10.20.37.32,MSITE-100129,0
firewall-NW-03-18,NW-03,firewall,10.20.37.35,MSITE-100130,0
olt-NW-03-19,NW-03,olt,10.20.37.38,MSITE-100131,0
firewall-NW-03-20,NW-03,firewall,10.20.37.41,MSITE-100132,0
firewall-NW-03-21,NW-03,firewall,10.20.37.44,MSITE-100133,0
firewall-NW-03-22,NW-03,firewall,10.20.37.47,MSITE-100134,0
agg-switch-NW-03-23,NW-03,agg,10.20.37.50,MSITE-100135,0
agg-switch-NW-03-24,NW-03,agg,10.20.37.53,MSITE-100136,0
firewall-NW-03-25,NW-03,firewall,10.20.38.20,MSITE-100137,0
core-router-NW-03-26,NW-03,core,10.20.38.23,MSITE-100138,0
core-router-NW-03-27,NW-03,core,10.20.38.26,MSITE-100139,0
agg-switch-NW-03-28,NW-03,agg,10.20.38.29,MSITE-100140,0
planned-agg-01,NE-04,agg-switch,10.20.250.10,MSITE-PLANNED,0
planned-agg-02,SE-02,agg-switch,10.20.250.15,MSITE-PLANNED,0
planned-agg-03,MW-07,agg-switch,10.20.250.20,MSITE-PLANNED,0
planned-agg-04,SW-01,agg-switch,10.20.250.25,MSITE-PLANNED,0
planned-agg-05,NW-03,agg-switch,10.20.250.30,MSITE-PLANNED,0
planned-agg-06,NE-04,agg-switch,10.20.250.35,MSITE-PLANNED,0
